Atom IX,BE [eV]
450,2.012336076106389
452,0.762841530623402
454,0.9167665802533245
456,1.8585321053323494
460,0.4064382906195917
463,0.11322962908178713
564,2.114886281898938
566,0.8622237164588265
568,0.9487433117231123
574,0.8088515304147911
577,-1.749537150647916
585,-0.3316617659744322
593,-0.8538794564078173
596,-1.280663275685181
627,0.2561836736371479
640,1.8479688795257747
642,0.5900895257902803
644,0.6303514051538854
646,1.1392186327263931
650,0.6080352537815431
678,1.3244498106374454
680,1.3339950537965382
682,1.5123641252655597
684,0.6843291917122158
688,-0.10167381183935024
691,-0.6907024019521044
805,-0.40056775388105414
830,2.644497643649537
832,1.5777767178357747
834,1.5377913003465933
836,1.9683599570395507
887,2.221411808128921
889,0.8010527365310609
891,0.7967830638613227
897,0.6023197137714216
900,-0.0011524470757500183
1115,2.1483657182149236
1117,1.1282554661894746
1121,1.128075973663992
1125,0.7364893133290364
1128,0.2971842801688549
1157,1.4948980453291123
1159,0.10868252876371676
1172,1.5457854757262481
1174,0.5961387969799934
1176,0.40321886969377996
1178,0.38446618630196827
1182,0.34195487918596984
1185,-0.3296855520945732
1210,1.9074013886555705
1212,0.8258142228776704
1220,0.11202965031535972
1223,-0.2649082877141371
1267,1.2080302206759608
1271,-0.029816303115396847
1273,0.11605469934317725
1286,0.9406903742252695
1288,-0.5430238653105303
1290,-0.3102002833705464
1292,0.5464841342680025
1343,0.6593010226540453
1345,-0.5509079725791988
1347,-0.3938180480090545
1349,0.04698301609463851
1353,1.6587851331373715
1381,0.9771225840743913
1383,-0.3914050070229625
1385,-0.2654005869022509
1387,0.3834463728926547
1391,-0.8107882775839279
1394,-1.2723662098625974
1476,2.8746852041637165
1478,1.7217470235595316
1480,1.610146153941558
1482,1.9211374317644525
1486,1.5575275788368317
1489,0.1626520408271741
1501,0.12343746652973753
1685,1.94615384753579
1687,0.8409452490712607
1689,0.7765999750919588
1691,1.333443707379275
1695,0.8103661453249679
1698,0.16350244814100812
1723,2.4715963279313256
1725,1.0862221788716515
1727,1.3618156962963777
1729,2.253525906300534
1733,0.964193052301969
1736,0.3513701222161112
1761,1.8851125631658643
1763,0.6861313253895196
1765,1.0860899573012535
1767,1.4533536988414433
1803,0.6118625099680934
1932,0.8914195792066948
1934,-0.2971874040432363
1936,-0.07978972903297765
1938,0.5014549902259455
1942,-0.34186154008722147
1945,-0.8595307939544172
1951,1.6458007917278081
1953,0.1574760563599379
1955,0.12678814029950436
1961,-0.7072906167323222
1964,0.623787395072684
2071,1.339873321237338
2179,2.9017592801562015
2181,1.5928371372624874
2183,1.5892334572359847
2185,2.439980522515751
2189,1.4182087278204825
2192,0.9459199534229299
2255,1.6679442029468274
2257,0.5031935525141609
2259,0.6853881083373231
2261,0.8374727384683824
2265,0.24610004209429723
2268,-0.30979679563506934
2274,0.6757737412246565
2280,0.5210045201044209
2293,2.2406049004250157
2295,0.7433211053866359
2297,0.8432451505875291
2299,1.935851918908373
2303,0.08983861161810652
2306,-0.6462786620847947
2350,2.4278026470287104
2352,1.5503855207552533
2354,1.532886802882721
2356,2.31176781518361
2360,1.0342299570695501
2363,0.2339304800245996
2388,2.6706710121584325
2390,1.2837145036853976
2392,1.4615285318000635
2394,2.230425333372538
2464,1.8373378344619269
2466,0.6365928638280496
2468,0.7135695720467581
2470,0.8960070189514866
2474,0.24837013677759678
2477,-0.32378733435721063
2483,1.8240442805419486
2485,0.6753169037920297
2487,0.6154880204493449
2489,0.7844510812654701
2493,0.009803659553537014
2496,-0.5123163470094667
2616,2.5963388397560285
2618,1.1804171476429488
2620,1.4101991250861134
2622,2.217239994723897
2626,1.0632570624533
2629,-0.16318078586523388
2673,1.191262690979948
2675,0.03187193515258269
2677,-0.04023003680477988
2679,0.543998573577658
2683,-0.13897036624497655
2686,-0.5666279969257291
2768,1.021257996492879
2770,-0.3167574471012676
2772,-0.28425946924527556
2774,0.9043278454744978
2778,-0.19583340582233022
2781,-0.8288804471990687
2806,1.4033147650075983
2808,0.3771850444539022
2810,0.019960141408809973
2812,0.40274141705633415
2816,0.16438896324447044
2819,-0.2264400232384043
2920,0.9206346591898802
2922,-0.4041393211516181
2924,-0.4550231676145119
2926,0.22752550339704136
2930,-0.6341771760780535
2933,-1.2071940529219614
2939,2.304027790315631
2941,1.1511579880847451
2943,1.2856105313135187
2945,1.6645127226392118
2949,1.025197599137345
2952,0.07819356355457696
2958,2.3344278623631305
2964,1.5586134086363272
2968,0.6441793127866874
3053,2.4747271163761395
3055,1.2734660024230708
3057,1.4409390403889208
3059,2.0934358080871487
3063,1.39656200395312
3066,0.8748317018008338
3129,2.1193614462982864
3131,0.9761936447750115
3133,0.9905969270191839
3135,2.0009032227822114
3139,0.37978625480128037
3142,0.1855100435490442
3190,1.1634011189888078
3192,1.4590939459402117
3211,2.177344292615385
3287,1.0070880108419962
3300,2.018286711726307
3302,0.8645339474849001
3304,0.9200603683326041
3306,1.5468235238105406
3310,0.8559069208877116
3313,0.34032476850774085
3357,1.7094826469111575
3359,0.8160371569202872
3361,0.6173602246691976
3363,1.149955146314083
3401,0.858857330314514
3473,1.2854646324621046
3475,1.2091153728388058
3515,0.9424867958432532
3547,0.6372586017780076
3549,-0.4216036180900188
3551,-0.3043287197690221
3553,0.10389826914094025
3557,-0.7072679500533687
3560,0.7292101422534145
3598,0.8336260059148177
3604,1.298818391927763
3606,0.048779548301933984
3608,0.22417097556470567
3610,1.0102239153328303
3614,-0.5805882268541174
3617,-1.311884077217285
3737,0.6393265484304327
3739,-0.35331467254182447
3741,-0.3293165355709845
3743,0.08611937365500966
3747,-0.031900213001916644
3750,-0.7209921526006013
3756,0.8822886213446877
3758,-0.14714203121323466
3760,0.008228706904725325
3762,0.49969391266434027
3766,0.41374396371794947
3769,-0.18212498476127692
3908,1.9898404327435761
3910,-0.18547069442420583
3912,0.02340972237888539
3914,0.40737952548146517
3918,0.09059195520272872
3921,-0.6719175340063126
4003,2.7401753857065545
4005,1.4606507220681777
4007,1.862627836753919
4009,2.3169150715510964
4013,1.1574930064478746
4051,0.007521283561975789
4054,-0.6606341487744265
4060,2.0694815963000073
4062,1.1090959765036423
4064,1.208968889735699
4066,1.5311937049489588
4070,0.36726982571914885
4073,-0.3255032420169188
4136,0.9543552341101125
4142,-0.08904913719581131
4146,0.04597678166152097
4149,-0.5670941316318157
4203,0.19121021238218777
4206,-0.12847974600457945
4231,1.9590661789821855
4233,0.3750679896502176
4241,0.4092530273414322
4244,-0.37892680970474135
